Title,Description,Source,Fetched Date,Combined Text,Sentiment,Score
Australians get right to disconnect after hours,A new law has come into effect that allows employees to ignore communications from employers after hours,BBC Business,2024-08-26T07:21:21.655817,australian get right disconnect hour . new law come effect allows employee ignore communication employer hour,-0.3612,Negative
Telegram says arrested CEO Durov has nothing to hide,Telegram says it is absurd to claim a platform or its owner is responsible for abuse of that platform,BBC Business,2024-08-26T07:21:21.655817,telegram say arrested ceo durov nothing hide . telegram say absurd claim platform owner responsible abuse platform,-0.6686,Negative
Astronauts to return on SpaceX flight after eight months stranded,Sunita Williams and Barry Wilmore were supposed to be on an eightday mission but will not return to Earth until 2025,BBC Business,2024-08-26T07:21:21.655817,astronaut return spacex flight eight month stranded . sunita williams barry wilmore supposed eightday mission return earth 2025,0.0,Neutral
ExBoeing staff claims electrical faults concealed,A campaign group has accused Boeing of concealing information about electrical problems on a plane,BBC Business,2024-08-26T07:21:21.655817,exboeing staff claim electrical fault concealed . campaign group accused boeing concealing information electrical problem plane,-0.765,Negative
TikTok blamed for hit to Iceland cucumber supply,One supermarket says demand has more than doubled after viral videos promote unique recipes,BBC Business,2024-08-26T07:21:21.655817,tiktok blamed hit iceland cucumber supply . one supermarket say demand doubled viral video promote unique recipe,-0.25,Negative
Blockbuster Chinese video game tried to police players and divided the internet,The hugely popular Black Myth Wukong has attracted some press for the wrong reasons,BBC Business,2024-08-26T07:21:21.655817,blockbuster chinese video game tried police player divided internet . hugely popular black myth wukong attracted press wrong reason,0.7713,Positive
Have supermarkets in UK reached peak selfscan,Supermarkets are beginning to question the divisive technology after years of criticism from shoppers,BBC Business,2024-08-26T07:21:21.655817,supermarket uk reached peak selfscan . supermarket beginning question divisive technology year criticism shopper,-0.3612,Negative
Babe Ruth called shot jersey sells for record 181m,Babe Ruths jersey when he called the shot during the 1932 World Series sells for record 181m at auction,BBC Business,2024-08-26T07:21:21.655817,babe ruth called shot jersey sell record 181m . babe ruth jersey called shot 1932 world series sell record 181m auction,0.0,Neutral
Good Bad Billionaire,Simon Jack and Zing Tsjeng find out how the worlds billionaires made their money and then judge them Are they good bad or just another billionaire Listen to season two New episodes released on Mondays,BBC Business,2024-08-26T07:21:21.655817,good bad billionaire . simon jack zing tsjeng find world billionaire made money judge good bad another billionaire listen season two new episode released monday,-0.296,Negative
Why Zoom wants you to go back to the office,Zoom chief product officer Smita Hashim explains why even videochat innovators need the physical space with a little help from AI,BBC Business,2024-08-26T07:21:21.655817,zoom want go back office . zoom chief product officer smita hashim explains even videochat innovator need physical space little help ai,0.4033,Positive
Aly Raisman on competing at the highest level,The decorated US gymnast opened up to the BBCs Katty Kay about blocking out the noise trusting her training and her winning mindset,BBC Business,2024-08-26T07:21:21.655817,aly raisman competing highest level . decorated u gymnast opened bbcs katty kay blocking noise trusting training winning mindset,0.5423,Positive
Jackie JoynerKersees goldmedal attitude,The retired athlete and halloffamer opened up to the BBCs Katty Kay about the challenges she faced on the road to the Olympics and the winning mindset that saw her through them,BBC Business,2024-08-26T07:21:21.655817,jackie joynerkersees goldmedal attitude . retired athlete halloffamer opened bbcs katty kay challenge faced road olympics winning mindset saw,0.5719,Positive
Olympic legend Lindsey Vonn explains the mindset of a winner,The decorated US downhill skier opens up to Katty Kay about the mental state that led her to gold medal victory and the hole thats left when her mind isnt on winning anymore,BBC Business,2024-08-26T07:21:21.655817,olympic legend lindsey vonn explains mindset winner . decorated u downhill skier open katty kay mental state led gold medal victory hole thats left mind isnt winning anymore,0.6278,Positive
Should you have to pay for online privacy,Some websites have started introducing paywalls which can be lifted with data rather than cash,BBC Business,2024-08-26T07:21:21.655817,pay online privacy . website started introducing paywalls lifted data rather cash,-0.1027,Neutral
Indiana Jonesinspired man finds 748 historic coins,The coins are expected to fetch 75000 at auction next month,BBC Business,2024-08-26T07:21:21.655817,indiana jonesinspired man find 748 historic coin . coin expected fetch 75000 auction next month,0.0,Neutral
US accuses software firm of driving rent hikes,The US has sued software firm RealPage accusing it of allowing landlords to coordinate on pricing,BBC Business,2024-08-26T07:21:21.655817,u accuses software firm driving rent hike . u sued software firm realpage accusing allowing landlord coordinate pricing,-0.4767,Negative
Canadian rail workers begin returning to work as stoppage partially ends,Workers at one of Canadas two main railways resume work on Friday partially ending a lockout after government intervention,BBC Business,2024-08-26T07:21:21.655817,canadian rail worker begin returning work stoppage partially end . worker one canada two main railway resume work friday partially ending lockout government intervention,0.0,Neutral
Time has come for interest rate cut says Fed chair,The remarks signal a new fight for the US central bank after two years battling inflation,BBC Business,2024-08-26T07:21:21.655817,time come interest rate cut say fed chair . remark signal new fight u central bank two year battling inflation,-0.4215,Negative
Bolt acts to halt NigeriaSouth Africa taxiwar,People were booking and then cancelling rides in the other country as a prank,BBC Business,2024-08-26T07:21:21.655817,bolt act halt nigeriasouth africa taxiwar . people booking cancelling ride country prank,-0.2023,Neutral
Playing with FIRE How to quit work and retire in your 30s,A personal finance strategy popular among millennials is helping them to quit their job and retire decades early,BBC Business,2024-08-26T07:21:21.655817,playing fire quit work retire 30 . personal finance strategy popular among millennials helping quit job retire decade early,0.5267,Positive
Boomerang CEOs Do they ever succeed,Five years after being ousted from WeWork Adam Neumann wants to rebuy the nowbankrupt business,BBC Business,2024-08-26T07:21:21.655817,boomerang ceo ever succeed . five year ousted wework adam neumann want rebuy nowbankrupt business,0.5423,Positive
How industry leaders transformed their career,The BBCs Katty Kay has spoken to successful changemakers to ask what made them pivot in their career,BBC Business,2024-08-26T07:21:21.655817,industry leader transformed career . bbcs katty kay spoken successful changemakers ask made pivot career,0.5859,Positive
Women were the original beer brewers what changed,Today the beer industry is maledominated but it wasnt always so,BBC Business,2024-08-26T07:21:21.655817,woman original beer brewer changed . today beer industry maledominated wasnt always,0.3182,Positive
How waiting alters our perception of time,Expert advice on how to get through a waiting period,BBC Business,2024-08-26T07:21:21.655817,waiting alters perception time . expert advice get waiting period,0.0,Neutral
Do the superrich deserve their wealth,Should there be a cap on billionaires wealth and their inheritances,BBC Business,2024-08-26T07:21:21.655817,superrich deserve wealth . cap billionaire wealth inheritance,0.7506,Positive
Four simple hacks to succeed in every conversation,A career coach a choreographer a chef and a dragon boat captain offer advice on giving critical feedback,BBC Business,2024-08-26T07:21:21.655817,four simple hack succeed every conversation . career coach choreographer chef dragon boat captain offer advice giving critical feedback,0.5106,Positive
Solo and hybrid work Navigating our future and new normal,Covid19 reshaped the way we live and work We rethink solo working and explore the future of worklife,BBC Business,2024-08-26T07:21:21.655817,solo hybrid work navigating future new normal . covid19 reshaped way live work rethink solo working explore future worklife,0.0,Neutral
Can supersonic flight ever be sustainable,How a new era of quiet net zero supersonic airliners could revolutionise the aviation industry,BBC Business,2024-08-26T07:21:21.655817,supersonic flight ever sustainable . new era quiet net zero supersonic airliner could revolutionise aviation industry,0.0,Neutral
Commencement speech The surprising pitfall of your passions,Students are graduating in the US this week The commencement speeches might lead them into questionable choices,BBC Business,2024-08-26T07:21:21.655817,commencement speech surprising pitfall passion . student graduating u week commencement speech might lead questionable choice,0.4404,Positive
ASMR How whispering took over the internet,We meet the creators behind the current ASMR boom,BBC Business,2024-08-26T07:21:21.655817,asmr whispering took internet . meet creator behind current asmr boom,0.0,Neutral
A desk full of descriptions for your work colleagues,These are the long lost words youve been waiting for to describe your colleagues,BBC Business,2024-08-26T07:21:21.655817,desk full description work colleague . long lost word youve waiting describe colleague,-0.3182,Negative
Veterinarian suicide rates are very high Why,Veterinarian professionals are committing suicide at a higher rate than the general population,BBC Business,2024-08-26T07:21:21.655817,veterinarian suicide rate high . veterinarian professional committing suicide higher rate general population,-0.8658,Negative
Defence firms need reassuring that big orders will be longterm,Western military production has ramped up due to Ukraine but will it continue after the war ends,BBC Business,2024-08-26T07:21:21.655817,defence firm need reassuring big order longterm . western military production ramped due ukraine continue war end,-0.2023,Neutral
